unit_id,amplitude_cutoff,firing_range,firing_rate,isi_violations_ratio,rp_contamination,rp_violations,sd_ratio,snr,silhouette,mad_ratio,quality_label
142,7.669902845616313e-05,6.0,1.6394566187703836,0.06026063969776199,0.09489333175215531,1,1.0264713603463291,7.528785,0.02253831719644811,0.79032403,1.0
143,0.002700597049618464,1.4,0.32555896104806076,0.0,0.0,0,1.0221501415194119,5.768585,0.02275947973598317,0.85485595,1.0
146,0.01740761302596057,0.6,0.11370268191827794,0.0,0.0,0,1.4603145627141514,8.350979,0.027890623916760178,0.8418069,1.0
149,0.002995273795998506,1.0,0.1763849296424568,0.0,0.0,0,1.3105285689341424,6.04682,0.04856656379182658,0.9227914,0.0
152,0.0038251424051836164,1.0,0.1890185609667099,0.0,0.0,0,0.9986324030795539,5.2150116,0.06260415582752692,0.7992712,1.0
157,0.0077234508359433985,1.4,0.2696794378830951,6.68127246165084,1.0,3,16.240154982004828,3.0426705,0.04248861505483204,5.3435764,0.0
158,0.0020619908815308658,1.8,0.41302256252365915,0.0,0.0,0,4.10216065925792,2.794858,0.06804865414186526,3.0204017,0.0
160,0.001245793034741048,3.4,0.8654037457113376,0.2162698879336789,0.40738685789212936,1,1.877934592956609,9.80418,0.1319896518151895,0.822301,1.0
162,0.04049481988988286,1.8,0.40427620237609935,0.0,0.0,0,1.9234267916014198,39.55961,0.19704117191083403,0.33735475,1.0
165,0.05580871609817239,1.6,0.36831894399168663,0.0,0.0,0,3.243085467315446,14.379815,0.40245984725407596,1.222689,0.0
166,0.000496151678183509,3.0,0.8309042140181849,0.0,0.0,0,1.0116596043907247,3.4627192,0.1520482910029438,0.8571719,1.0
172,0.0006548630821183131,3.4,0.8887273727714973,0.20506733296644397,0.0,0,1.053184635633664,3.1072323,0.06783577380267587,0.9161049,1.0
183,0.10863614990597277,0.8,0.13654040008135085,0.0,0.0,0,33.41781260385358,27.983923,0.11080349065612603,11.25155,0.0
189,0.36667284284279994,2.5,0.6044706679758024,0.0,0.0,0,8.298493272712845,11.635308,0.08221379003704599,5.8681355,0.0
193,0.011680658839030352,0.6,0.11807586199205786,0.0,0.0,0,3.5013060484245457,25.105537,0.40686634330819843,1.4140732,0.0
197,0.0002824306410385714,6.8,1.7065120465683423,1.0567408123336328,1.0,18,1.542303461428161,2.3139496,0.014158019211511086,1.3677353,0.0
198,0.0003860341124105125,2.5,0.6452870153310817,0.0,0.0,0,1.1457188364158153,4.086119,0.02127006598355494,1.1373886,1.0
199,0.0003932865836131943,1.4,0.31972805428302087,0.0,0.0,0,1.47423927888964,17.261848,0.19971444817153924,0.6270298,1.0
201,0.013868332096992406,0.6,0.09135087265229168,0.0,0.0,0,1.3502621656472338,4.9058714,0.057746217566437365,1.1794713,0.0
202,0.013450445026873923,0.9,0.18658901648127663,0.0,0.0,0,1.0100976694717378,2.9032433,0.01823096758907508,0.9149487,0.0
207,0.04655211489752602,2.4,0.6098156658437556,1.7421936794654054,1.0,1,4.426382812896243,19.64654,0.27290945180833787,1.3185618,0.0
211,0.5,0.6,0.1360544911842642,0.0,0.0,0,6.492676835177521,25.272741,0.3113938589459043,3.2718053,0.0
213,0.16061330988178027,2.2,0.5471334181195767,0.0,0.0,0,7.975764432334982,31.65844,0.19116281067156468,2.1192944,1.0
214,0.0025475109433256518,2.4,0.5962102167253291,0.0,0.0,0,1.1212965651040727,21.457752,0.21354365087221303,0.46207574,1.0
221,0.27172939797371115,3.0,0.7366378879833733,0.0,0.0,0,7.803309983349925,14.950971,0.128746272010575,4.7931247,0.0
223,0.015844615367481836,1.4,0.31972805428302087,1.5844265343077024,1.0,1,7.388696366799777,4.1233425,0.029286074387505547,5.895251,0.0
227,0.1343075039384906,1.4,0.3483966792111337,0.0,0.0,0,5.189713718202029,13.90351,0.31149680685939735,2.933413,0.0
231,0.004892378674701322,1.6,0.39844529561105946,0.0,0.0,0,1.1618362382376828,3.1580746,0.050478049564922856,0.97960246,1.0
239,0.0003938855092052137,1.4,0.3192421453859342,0.0,0.0,0,1.664979420353482,2.142977,0.03681529301470536,1.266178,0.0
240,0.0020402265445061147,2.3,0.5777456786360362,0.0,0.0,0,1.0723392882874936,2.686612,0.024628266586879173,0.95918167,1.0
241,0.0021943621912494026,1.2,0.2837707958986082,0.0,0.0,0,2.0579995810125227,5.900227,0.023190324082471812,0.9769698,1.0
247,0.010569449693340791,2.0,0.46647254120319154,0.0,0.0,0,0.9808351648422001,7.742755,0.03835465175348268,0.73247313,1.0
249,0.0943478851327135,1.4,0.29203124714908135,0.0,0.0,0,9.713340897885937,19.25109,0.059262479546897055,4.4461718,0.0
250,0.0018610939399777307,4.8,1.2089413359516048,0.1108212749170294,0.18297112948873595,1,2.0887563525080934,2.2828052,0.03863148515073005,1.4153496,0.0
252,0.0014738077383498595,2.2,0.5364434223836703,0.0,0.0,0,1.0175033045654835,20.092602,0.14685085904446443,0.50595033,1.0
254,0.007917471227922903,2.0,0.4625852700264983,0.0,0.0,0,1.8749582426519347,7.287662,0.04723572618100855,1.2605257,1.0
262,0.00021977029854063315,3.4,0.9091355464491369,1.9596401059120316,1.0,9,1.459872542982171,4.130804,0.06273602283473173,1.0953557,1.0
